==== This output can be found in Systems/dx986/os/lscfg.txt ====
==== START lscfg Tue Jul  7 00:45:13 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
+ fcs2             U9179.MHD.212EECV-V33-C303-T1                                    Virtual Fibre Channel Client Adapter
+ fcs3             U9179.MHD.212EECV-V33-C304-T1                                    Virtual Fibre Channel Client Adapter
+ fscsi2           U9179.MHD.212EECV-V33-C304-T1                                    FC SCSI I/O Controller Protocol Device
* hdisk2           U9179.MHD.212EECV-V33-C304-T1-W500009740834D548-L0               EMC Symmetrix FCP VRAID
* hdisk10          U9179.MHD.212EECV-V33-C304-T1-W500009740834D570-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk11          U9179.MHD.212EECV-V33-C304-T1-W500009740834D548-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk18          U9179.MHD.212EECV-V33-C304-T1-W50000974082D35E0-L2A000000000000  EMC Symmetrix FCP VRAID
* hdisk19          U9179.MHD.212EECV-V33-C304-T1-W50000974082D35D8-L2A000000000000  EMC Symmetrix FCP VRAID
* hdisk161         U9179.MHD.212EECV-V33-C304-T1-W500009740834D570-L2D000000000000  EMC Symmetrix FCP VRAID
* hdisk162         U9179.MHD.212EECV-V33-C304-T1-W500009740834D570-L2E000000000000  EMC Symmetrix FCP VRAID
* hdisk163         U9179.MHD.212EECV-V33-C304-T1-W500009740834D570-L2F000000000000  EMC Symmetrix FCP VRAID
* hdisk164         U9179.MHD.212EECV-V33-C304-T1-W500009740834D570-L30000000000000  EMC Symmetrix FCP VRAID
* hdisk165         U9179.MHD.212EECV-V33-C304-T1-W500009740834D570-L31000000000000  EMC Symmetrix FCP VRAID
* hdisk166         U9179.MHD.212EECV-V33-C304-T1-W500009740834D570-L32000000000000  EMC Symmetrix FCP VRAID
* hdisk210         U9179.MHD.212EECV-V33-C304-T1-W500009740834D548-L2D000000000000  EMC Symmetrix FCP VRAID
* hdisk211         U9179.MHD.212EECV-V33-C304-T1-W500009740834D548-L2E000000000000  EMC Symmetrix FCP VRAID
* hdisk212         U9179.MHD.212EECV-V33-C304-T1-W500009740834D548-L2F000000000000  EMC Symmetrix FCP VRAID
* hdisk213         U9179.MHD.212EECV-V33-C304-T1-W500009740834D548-L30000000000000  EMC Symmetrix FCP VRAID
