==== This output can be found in Systems/dx986/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:45:13 GST 2015 ====

System configuration: lcpu=32 drives=710 ent=3.60 paths=0 vdisks=10 maxserver=960

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     16.4  0.0   177     0    131072            11.9   4.7   80.2      3.2   0.9   25.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk952         0.6     187.7       1.7   693671743  690219032
hdisk954         0.0      21.1       0.1   101379885  53874268
hdisk944         0.1      42.5       0.1   237199702  76270764
hdisk956         0.0       0.0       0.0         44      6892
hdisk950         0.1      42.8       0.1   239251389  75883120
hdisk955         0.0       0.0       0.0      15449      8428
hdisk958         0.0       5.5       0.2   32987052   7506236
hdisk957         0.0       2.5       0.0   18006929    244068
hdisk961         0.1      62.5       0.3   153747437  307324219
hdisk959         0.0       1.9       0.0   13493017    237548
hdisk13          0.0       0.1       0.0     414714    166662
hdisk960         0.1      62.5       0.3   153453964  307625725
hdisk948         0.1      42.3       0.1   235918672  75833476
hdisk311         0.0       0.2       0.0    1060444     72596
hdisk315         0.0       0.2       0.0    1385816    176808
hdisk312         0.0       0.1       0.0    1027012     74948
hdisk508         0.0       0.0       0.0         12         0
hdisk313         0.0       0.2       0.0    1052348     84116
hdisk507         0.0       0.0       0.0          4         0
hdisk509         0.0       0.0       0.0         20         0
hdisk514         0.0       0.0       0.0         28         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk512         0.0       0.0       0.0        152         0
hdisk310         0.0       0.2       0.0    1050167     73872
hdisk511         0.0       0.0       0.0         12     18216
hdisk314         0.0       0.2       0.0    1421720    192036
hdisk516         0.0       0.0       0.0        168         0
hdisk517         0.0       0.0       0.0          5         0
hdisk519         0.0       0.0       0.0         20         0
hdisk510         0.0       0.0       0.0          4         0
hdisk506         0.0       0.0       0.0        461         0
hdisk518         0.0       0.0       0.0         16         0
hdisk611         0.0       0.0       0.0          5         0
hdisk610         0.0       0.0       0.0        289         0
hdisk513         0.0       0.0       0.0        196         0
hdisk612         0.0       0.0       0.0          4         0
hdisk515         0.0       0.0       0.0         76         0
hdisk614         0.0       0.0       0.0          4         0
hdisk523         0.0       0.0       0.0          4         0
hdisk522         0.0       0.0       0.0          4         0
hdisk521         0.0       0.0       0.0          4         0
hdisk520         0.0       0.0       0.0          4         0
hdisk616         0.0       0.0       0.0          4     18328
hdisk617         0.0       0.0       0.0          5         0
hdisk613         0.0       0.0       0.0          4         0
hdisk619         0.0       0.0       0.0          4         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk618         0.0       0.0       0.0          4         0
hdisk615         0.0       0.0       0.0          4         0
hdisk745         0.0       0.0       0.0          8         0
hdisk712         0.1      53.0       0.1   386725928   4307752
hdisk713         0.1      52.2       0.1   380803636   4272908
hdisk711         0.1      52.8       0.1   384819961   4353996
hdisk717         0.1      54.4       0.1   396893746   4267712
hdisk718         0.1      53.3       0.1   388191666   4426320
hdisk720         0.1      53.9       0.1   392838800   4524132
hdisk6           0.0       0.0       0.0          0         0
hdisk5           0.0       0.0       0.0          0         0
hdisk723         0.1      53.5       0.1   389790149   4422992
hdisk719         0.1      53.0       0.1   386546205   4373388
hdisk721         0.1      52.7       0.1   384111825   4337132
hdisk724         0.1      54.4       0.1   396528210   4357592
hdisk727         0.1      55.9       0.1   408163094   4180820
hdisk722         0.1      53.9       0.1   392728214   4420128
hdisk731         2.0     106.5       7.2   458190861  327203916
hdisk735         2.0     107.0       7.3   460348701  328717924
hdisk728         0.1      54.5       0.1   397429149   4318664
hdisk730         2.0     105.9       7.2   461172560  319179768
hdisk716         0.1      54.5       0.1   397059506   4508640
hdisk733         2.0     106.5       7.2   456947638  327751220
