==== This output can be found in Systems/dx978/os/lscfg.txt ====
==== START lscfg Mon Jul  6 23:30:06 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk181         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L59000000000000  EMC Symmetrix FCP VRAID
* hdisk182         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L5A000000000000  EMC Symmetrix FCP VRAID
* hdisk183         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L5B000000000000  EMC Symmetrix FCP VRAID
* hdisk184         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L5C000000000000  EMC Symmetrix FCP VRAID
* hdisk286         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L2000000000000   EMC Symmetrix FCP VRAID
* hdiskpower93     U9179.MHD.21ADA1V-V34-C313-T1-L184                               PowerPath Device
* hdisk736         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L5E000000000000  EMC Symmetrix FCP VRAID
* hdisk737         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L5E000000000000  EMC Symmetrix FCP VRAID
* sfwcomm5         U9179.MHD.21ADA1V-V34-C313-T1-W0-L0                              Fibre Channel Storage Framework Comm
* hdisk0           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D5D0-L4A000000000000  EMC Symmetrix FCP VRAID
* hdisk1           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk728         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L5D000000000000  EMC Symmetrix FCP VRAID
* hdisk2           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D5D0-L4B000000000000  EMC Symmetrix FCP VRAID
* hdisk8           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L0               EMC Symmetrix FCP VRAID
* hdisk4           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D5D0-L4C000000000000  EMC Symmetrix FCP VRAID
* hdisk6           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D5D0-L4D000000000000  EMC Symmetrix FCP VRAID
* hdisk7           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk9           U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk10          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L4000000000000   EMC Symmetrix FCP VRAID
* hdisk12          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk284         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L0               EMC Symmetrix FCP VRAID
